articulo,topico,score
Artículo 1,Derechos fundamentales,0.2227715402841568
Artículo 1,Sobre los derechos,0.14903223514556885
Artículo 1,Defensoría de la Naturaleza,0.11602967977523804
Artículo 1,Derechos de la naturaleza,0.10676231980323792
Artículo 1,Participación y representación,0.06954499334096909
Artículo 1,Principios y disposiciones generales,0.060787808150053024
Artículo 1,Acciones constitucionales,0.059730805456638336
Artículo 1,Contraloría general de la república,0.026517055928707123
Artículo 1,Bienes comunes naturales,0.02592715620994568
Artículo 1,Comuna autónoma,0.019892802461981773
Artículo 1,Poder ejecutivo,0.01635054126381874
Artículo 1,Órganos autónomos constitucionales,0.014950981363654137
Artículo 1,Provincia,0.011960363015532494
Artículo 1,Buen gobierno y función pública,0.011399862356483936
Artículo 1,Ministerio Público,0.010476888157427311
Artículo 1,Corte Constitucional,0.009531117975711823
Artículo 1,Consejo de la Justicia,0.0071714180521667
Artículo 1,Defensoría del Pueblo y de la Niñez,0.007169870659708977
Artículo 1,Nacionalidad y ciudadanía,0.006889773532748222
Artículo 1,Tipos de democracia,0.004848062060773373
Artículo 1,Banco Central,0.0046962108463048935
Artículo 1,Región autónoma,0.004343771375715733
Artículo 1,Defensoría Penal Pública,0.0040633887983858585
Artículo 1,Organización territorial,0.003798200748860836
Artículo 1,Agencia Nacional de Protección de Datos,0.003770611248910427
Artículo 1,Poder legislativo,0.0034346929751336575
Artículo 1,Reforma Constitucional,0.003040444105863571
Artículo 1,Estatuto de los minerales,0.002647888381034136
Artículo 1,Proceso de creación de leyes,0.002610288793221116
Artículo 1,Sufragio y sistema electoral,0.0025689599569886923
Artículo 1,Sistemas de justicia,0.002076225122436881
Artículo 1,Cambio de Constitución,0.0014192248927429318
Artículo 1,Autonomías territoriales indígenas,0.0011056161019951105
Artículo 1,Ruralidad,0.0007773943361826241
Artículo 1,Autonomía fiscal,0.0007156828069128096
Artículo 1,Territorios especiales,0.0006973290583118796
Artículo 1,Estatuto de las aguas,0.0004886770620942116
Artículo 2,Participación y representación,0.466056227684021
Artículo 2,Derechos fundamentales,0.2518126666545868
Artículo 2,Comuna autónoma,0.12999650835990906
Artículo 2,Sobre los derechos,0.10866100341081619
Artículo 2,Nacionalidad y ciudadanía,0.01627778261899948
Artículo 2,Acciones constitucionales,0.007169103249907494
Artículo 2,Región autónoma,0.004124823492020369
Artículo 2,Órganos autónomos constitucionales,0.003318948671221733
Artículo 2,Principios y disposiciones generales,0.0014635770348832011
Artículo 2,Organización territorial,0.001430737553164363
Artículo 2,Poder legislativo,0.0013573890319094062
Artículo 2,Provincia,0.0007544319378212094
Artículo 2,Defensoría Penal Pública,0.0006834937375970185
Artículo 2,Poder ejecutivo,0.0005929626058787107
Artículo 2,Tipos de democracia,0.0005476390360854566
Artículo 2,Derechos de la naturaleza,0.0005108731565997005
Artículo 2,Consejo de la Justicia,0.00044877565233036876
Artículo 2,Contraloría general de la república,0.00044062684173695743
Artículo 2,Estatuto de los minerales,0.00040571947465650737
Artículo 2,Corte Constitucional,0.0003945434873457998
Artículo 2,Defensoría de la Naturaleza,0.0003787543100770563
Artículo 2,Ministerio Público,0.00037669247831217945
Artículo 2,Banco Central,0.0003115852305199951
Artículo 2,Sistemas de justicia,0.00028343158192001283
Artículo 2,Agencia Nacional de Protección de Datos,0.0002535988751333207
Artículo 2,Proceso de creación de leyes,0.0002487003803253174
Artículo 2,Defensoría del Pueblo y de la Niñez,0.0002363142993999645
Artículo 2,Reforma Constitucional,0.0002261573972646147
Artículo 2,Sufragio y sistema electoral,0.00020433856116142124
Artículo 2,Buen gobierno y función pública,0.0002030643809121102
Artículo 2,Territorios especiales,0.00016569778381381184
Artículo 2,Bienes comunes naturales,0.0001403630740242079
Artículo 2,Ruralidad,0.00013425467477645725
Artículo 2,Cambio de Constitución,0.00012904858158435673
Artículo 2,Autonomías territoriales indígenas,0.00010213399946223944
Artículo 2,Autonomía fiscal,9.510925883660093e-05
Artículo 2,Estatuto de las aguas,6.300753011601046e-05
Artículo 3,Defensoría Penal Pública,0.07335177063941956
Artículo 3,Contraloría general de la república,0.06898113340139389
Artículo 3,Corte Constitucional,0.0682896226644516
Artículo 3,Ministerio Público,0.06452104449272156
Artículo 3,Consejo de la Justicia,0.06267096847295761
Artículo 3,Acciones constitucionales,0.05764367803931236
Artículo 3,Órganos autónomos constitucionales,0.05415597930550575
Artículo 3,Poder ejecutivo,0.04967816174030304
Artículo 3,Poder legislativo,0.045199036598205566
Artículo 3,Agencia Nacional de Protección de Datos,0.04494282230734825
Artículo 3,Defensoría del Pueblo y de la Niñez,0.04114076867699623
Artículo 3,Principios y disposiciones generales,0.03744538500905037
Artículo 3,Banco Central,0.032140813767910004
Artículo 3,Sistemas de justicia,0.03125816583633423
Artículo 3,Reforma Constitucional,0.029436524957418442
Artículo 3,Tipos de democracia,0.027599655091762543
Artículo 3,Participación y representación,0.023628702387213707
Artículo 3,Comuna autónoma,0.02130550518631935
Artículo 3,Región autónoma,0.02026923932135105
Artículo 3,Proceso de creación de leyes,0.018192099407315254
Artículo 3,Derechos fundamentales,0.013974279165267944
Artículo 3,Buen gobierno y función pública,0.013500329107046127
Artículo 3,Cambio de Constitución,0.012886008247733116
Artículo 3,Sobre los derechos,0.012666065245866776
Artículo 3,Sufragio y sistema electoral,0.01013161987066269
Artículo 3,Provincia,0.009991438128054142
Artículo 3,Territorios especiales,0.008663053624331951
Artículo 3,Estatuto de los minerales,0.00822261068969965
Artículo 3,Autonomía fiscal,0.007557463366538286
Artículo 3,Ruralidad,0.006120476871728897
Artículo 3,Organización territorial,0.005154898855835199
Artículo 3,Bienes comunes naturales,0.00416829576715827
Artículo 3,Nacionalidad y ciudadanía,0.004149468615651131
Artículo 3,Estatuto de las aguas,0.003957411739975214
Artículo 3,Defensoría de la Naturaleza,0.0026767943054437637
Artículo 3,Derechos de la naturaleza,0.0022479973267763853
Artículo 3,Autonomías territoriales indígenas,0.0020808002445846796
Artículo 4,Participación y representación,0.42230507731437683
Artículo 4,Comuna autónoma,0.1807623952627182
Artículo 4,Principios y disposiciones generales,0.07564166188240051
Artículo 4,Región autónoma,0.05426860600709915
Artículo 4,Acciones constitucionales,0.046894364058971405
Artículo 4,Derechos fundamentales,0.04065771773457527
Artículo 4,Órganos autónomos constitucionales,0.025721121579408646
Artículo 4,Provincia,0.022597866132855415
Artículo 4,Sobre los derechos,0.020050909370183945
Artículo 4,Defensoría del Pueblo y de la Niñez,0.012035147286951542
Artículo 4,Banco Central,0.01145592238754034
Artículo 4,Ruralidad,0.0104007413610816
Artículo 4,Contraloría general de la república,0.008159917779266834
Artículo 4,Ministerio Público,0.007743919268250465
Artículo 4,Tipos de democracia,0.0074559664353728294
Artículo 4,Cambio de Constitución,0.005141530651599169
Artículo 4,Derechos de la naturaleza,0.004880636464804411
Artículo 4,Reforma Constitucional,0.004851225763559341
Artículo 4,Corte Constitucional,0.004793910775333643
Artículo 4,Defensoría Penal Pública,0.004737666808068752
Artículo 4,Bienes comunes naturales,0.004467150662094355
Artículo 4,Consejo de la Justicia,0.0040080058388412
Artículo 4,Estatuto de los minerales,0.0024819066748023033
Artículo 4,Agencia Nacional de Protección de Datos,0.002198300790041685
Artículo 4,Nacionalidad y ciudadanía,0.0021547027863562107
Artículo 4,Defensoría de la Naturaleza,0.0018383318092674017
Artículo 4,Poder ejecutivo,0.0018000834388658404
Artículo 4,Organización territorial,0.0017640742007642984
Artículo 4,Poder legislativo,0.0015802826965227723
Artículo 4,Autonomía fiscal,0.0012765047140419483
Artículo 4,Buen gobierno y función pública,0.0012171812122687697
Artículo 4,Sistemas de justicia,0.0011145826429128647
Artículo 4,Autonomías territoriales indígenas,0.0010998966172337532
Artículo 4,Proceso de creación de leyes,0.0007943459204398096
Artículo 4,Sufragio y sistema electoral,0.0007314347894862294
Artículo 4,Territorios especiales,0.0005627191276289523
Artículo 4,Estatuto de las aguas,0.00035418863990344107
Artículo 5,Participación y representación,0.2942138612270355
Artículo 5,Derechos fundamentales,0.11159470677375793
Artículo 5,Sobre los derechos,0.10913240164518356
Artículo 5,Poder ejecutivo,0.08860373497009277
Artículo 5,Comuna autónoma,0.06556386500597
Artículo 5,Poder legislativo,0.06190326437354088
Artículo 5,Órganos autónomos constitucionales,0.052447766065597534
Artículo 5,Acciones constitucionales,0.05144837126135826
Artículo 5,Autonomías territoriales indígenas,0.019903158769011497
Artículo 5,Principios y disposiciones generales,0.019497429952025414
Artículo 5,Sufragio y sistema electoral,0.016552243381738663
Artículo 5,Buen gobierno y función pública,0.012534299865365028
Artículo 5,Región autónoma,0.012102384120225906
Artículo 5,Organización territorial,0.00975172407925129
Artículo 5,Nacionalidad y ciudadanía,0.008790075778961182
Artículo 5,Provincia,0.006928303278982639
Artículo 5,Ministerio Público,0.006217137910425663
Artículo 5,Contraloría general de la república,0.005841341335326433
Artículo 5,Tipos de democracia,0.004425473976880312
Artículo 5,Territorios especiales,0.004334526136517525
Artículo 5,Proceso de creación de leyes,0.004291066434234381
Artículo 5,Corte Constitucional,0.0038112967740744352
Artículo 5,Defensoría Penal Pública,0.0035581605043262243
Artículo 5,Derechos de la naturaleza,0.003353461157530546
Artículo 5,Consejo de la Justicia,0.003306708065792918
Artículo 5,Reforma Constitucional,0.0027120569720864296
Artículo 5,Banco Central,0.002700633369386196
Artículo 5,Agencia Nacional de Protección de Datos,0.0024552762042731047
Artículo 5,Ruralidad,0.0022010819520801306
Artículo 5,Estatuto de los minerales,0.002098300727084279
Artículo 5,Cambio de Constitución,0.0020115659572184086
Artículo 5,Defensoría del Pueblo y de la Niñez,0.00154992681927979
