articulo,numero,topico,score
Artículo 1°,0,Derechos fundamentales,0.2037968784570694
Artículo 1°,0,Participación y representación,0.19949784874916077
Artículo 1°,0,Comuna autónoma,0.14018259942531586
Artículo 1°,0,Sobre los derechos,0.1167530044913292
Artículo 1°,0,Nacionalidad y ciudadanía,0.1099291518330574
Artículo 1°,0,Acciones constitucionales,0.08700761944055557
Artículo 1°,0,Principios y disposiciones generales,0.05243498831987381
Artículo 1°,0,Órganos autónomos constitucionales,0.02635328471660614
Artículo 1°,0,Poder ejecutivo,0.008830280974507332
Artículo 1°,0,Provincia,0.0083486158400774
Artículo 1°,0,Contraloría general de la república,0.006258590612560511
Artículo 1°,0,Ministerio Público,0.006144431419670582
Artículo 1°,0,Corte Constitucional,0.004681913182139397
Artículo 1°,0,Buen gobierno y función pública,0.004334656521677971
Artículo 1°,0,Organización territorial,0.0038806835655122995
Artículo 1°,0,Región autónoma,0.0022434971760958433
Artículo 1°,0,Tipos de democracia,0.0019052464049309492
Artículo 1°,0,Derechos de la naturaleza,0.0018690155120566487
Artículo 1°,0,Defensoría del Pueblo y de la Niñez,0.0017921775579452515
Artículo 1°,0,Banco Central,0.0015360149554908276
Artículo 1°,0,Reforma Constitucional,0.0012916958658024669
Artículo 1°,0,Defensoría de la Naturaleza,0.001228262553922832
Artículo 1°,0,Consejo de la Justicia,0.0012129038805142045
Artículo 1°,0,Cambio de Constitución,0.0011112716747447848
Artículo 1°,0,Poder legislativo,0.0011036867508664727
Artículo 1°,0,Bienes comunes naturales,0.001006426871754229
Artículo 1°,0,Proceso de creación de leyes,0.0008668782538734376
Artículo 1°,0,Territorios especiales,0.0008317322935909033
Artículo 1°,0,Defensoría Penal Pública,0.0007302454905584455
Artículo 1°,0,Agencia Nacional de Protección de Datos,0.0006333071505650878
Artículo 1°,0,Estatuto de los minerales,0.0006204100791364908
Artículo 1°,0,Sistemas de justicia,0.0004896640894003212
Artículo 1°,0,Sufragio y sistema electoral,0.0003410909848753363
Artículo 1°,0,Ruralidad,0.0002970591885969043
Artículo 1°,0,Autonomía fiscal,0.00022114923922345042
Artículo 1°,0,Autonomías territoriales indígenas,0.00014963714056648314
